PODER,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,ENTIDAD
Poder Ejecutivo,Energía y Minas,AREQUIPA,AREQUIPA,AREQUIPA,Empresa de Generación Eléctrica de Arequipa S.A. (EGASA)
Poder Ejecutivo,Energía y Minas,TACNA,TACNA,TACNA,Empresa de Generación Eléctrica del Sur S.A. (EGESUR)
Poder Ejecutivo,Energía y Minas,CUSCO,CUSCO,SANTIAGO,Empresa de Generación Eléctrica Machupicchu S.A. (EGEMSA)
Poder Ejecutivo,Energía y Minas,PUNO,PUNO,PUNO,Empresa de Generación Eléctrica San Gabán S.A. (SAN GABAN S.A.)
Poder Ejecutivo,Energía y Minas,PIURA,PIURA,PIURA,Empresa de Servicio Público de Electricidad del Nor Oeste del Perú S.A. (ELECTRONOROESTE)
Poder Ejecutivo,Energía y Minas,LA LIBERTAD,TRUJILLO,TRUJILLO,Empresa de Servicio Público de Electricidad Electro Norte Medio S.A - HIDRANDINA (HIDRANDINA)
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,LIMA,Empresa Minera del Centro del Perú S.A. (CENTROMIN)
Poder Ejecutivo,Energía y Minas,TACNA,TACNA,TACNA,Empresa Regional de Servicio Público de Electricidad (ELECTROSUR S.A.)
Poder Ejecutivo,Energía y Minas,JUNIN,HUANCAYO,HUANCAYO,Empresa Regional de Servicio Publico de Electricidad del Centro S.A. (ELECTROCENTRO)
Poder Ejecutivo,Energía y Minas,LAMBAYEQUE,CHICLAYO,CHICLAYO,Empresa Regional de Servicio Público de Electricidad del Norte S.A (ELECTRONORTE S.A.)
Poder Ejecutivo,Energía y Minas,LORETO,MAYNAS,IQUITOS,Empresa Regional de Servicio Público de Electricidad del Oriente S.A. (ELECTRO ORIENTE)
Poder Ejecutivo,Energía y Minas,CUSCO,CUSCO,SANTIAGO,Empresa Regional de Servicio Público de Electricidad del Sur Este S.A.A. (ELSE)
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,SAN BORJA,Instituto Geológico Minero y Metalúrgico (INGEMMET)
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,SAN BORJA,Instituto Peruano de Energía Nuclear (IPEN)
