PODER,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,ENTIDAD
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,LIMA,Fondo Consolidado de Reservas Previsionales (FCR)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,SAN ISIDRO,Fondo Nacional de Financiamiento de la Actividad Empresarial del Estado (FONAFE)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,LIMA,Ministerio de Economía y Finanzas (MEF)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,LIMA,Oficina de Normalización Previsional (ONP)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,JESUS MARIA,Organismo Supervisor de las Contrataciones del Estado (OSCE)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,MAGDALENA DEL MAR,Secretaría Técnica del Consejo Fiscal (STCF)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,MIRAFLORES,Superintendencia del Mercado de Valores (SMV)
Poder Ejecutivo,Economía y Finanzas,LIMA,LIMA,LIMA,Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,LIMA,Banco de Materiales SAC (BANMAT SAC)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",ICA,ICA,ICA,Fondo de reconstrucción integral de las zonas afectadas por los sismos del 15 de agosto de 2007 (FORSUR)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Fondo MIVIVIENDA S. A. (FMV S.A.)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,"Ministerio de Vivienda, Construcción y Saneamiento (VIVIENDA)"
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Organismo de Formalización de la Propiedad Informal (COFOPRI)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Organismo Técnico de la Administración de los Servicios de Saneamiento (OTASS)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Programa Agua Segura para Lima y Callao (PASLC)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Programa Nacional de Saneamiento Rural (PNSR)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Programa Nacional de Saneamiento Urbano (PNSU)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,EL AGUSTINO,Servicio de Agua Potable y Alcantarillado de Lima (SEDAPAL)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN BORJA,Servicio Nacional de Capacitación para la Industria de la Construcción (SENCICO)
Poder Ejecutivo,"Vivienda, Construcción y Saneamiento",LIMA,LIMA,SAN ISIDRO,Superintendencia Nacional de Bienes Estatales (SBN)
Poder Ejecutivo,Ambiente,LORETO,MAYNAS,SAN JUAN BAUTISTA,Instituto de Investigaciones de la Amazonía Peruana (IIAP)
Poder Ejecutivo,Ambiente,LIMA,LIMA,ATE,Instituto Geofísico del Perú (IGP)
Poder Ejecutivo,Ambiente,ANCASH,HUARAZ,HUARAZ,Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña (INAIGEM)
Poder Ejecutivo,Ambiente,LIMA,LIMA,MAGDALENA DEL MAR,Ministerio del Ambiente (MINAM)
Poder Ejecutivo,Ambiente,LIMA,LIMA,JESUS MARIA,Organismo de Evaluación y Fiscalización Ambiental (OEFA)
Poder Ejecutivo,Ambiente,LIMA,LIMA,SAN ISIDRO,Programa Nacional de Conservación de Bosques (PNCBMCC)
Poder Ejecutivo,Ambiente,LIMA,LIMA,LIMA,Proyecto Especial Parque Ecológico Nacional Antonio Raimondi (PEPENAR)
Poder Ejecutivo,Ambiente,LIMA,LIMA,SAN ISIDRO,Servicio Nacional de Áreas Naturales Protegidas por el Estado (SERNANP)
Poder Ejecutivo,Ambiente,LIMA,LIMA,MIRAFLORES,Servicio Nacional de Certificación Ambiental para las Inversiones Sostenibles (Senace)
Poder Ejecutivo,Ambiente,LIMA,LIMA,JESUS MARIA,Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI)
Poder Ejecutivo,Ambiente,LIMA,LIMA,SAN ISIDRO,UNIDAD EJECUTORA 004 GESTION DE LOS RECURSOS NATURALES (PROGRAMA MINAM+CAF)
Poder Ejecutivo,Cultura,CUSCO,CUSCO,CUSCO,Academia Mayor de la Lengua Quechua (AMLQ)
Poder Ejecutivo,Cultura,LIMA,LIMA,LIMA,Archivo General de la Nación (AGN)
Poder Ejecutivo,Cultura,LIMA,LIMA,SAN BORJA,Biblioteca Nacional del Perú (BNP)
Poder Ejecutivo,Cultura,LIMA,LIMA,LIMA,Instituto Nacional de Radio y Televisión del Perú (IRTP)
Poder Ejecutivo,Cultura,LIMA,LIMA,SAN BORJA,Ministerio de Cultura (CULTURA)
Poder Ejecutivo,Cultura,CAJAMARCA,CONTUMAZA,CONTUMAZA,UNIDAD DE GESTIÓN EDUCATIVA LOCAL CONTUMAZÁ (UGEL CONTUMAZÁ)
Poder Ejecutivo,Cultura,CUSCO,CUSCO,CUSCO,UNIDAD EJECUTORA 002 MC-CUSCO (DDC-Cusco)
Poder Ejecutivo,Cultura,LIMA,LIMA,LA MOLINA,Unidad Ejecutora 003 - Zona Arqueológica Caral/MC (UE003-ZAC/MC)
Poder Ejecutivo,Cultura,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,Unidad Ejecutora 005 Proyecto Especial Naylamp - Lambayeque (U.E. 005)
Poder Ejecutivo,Cultura,LIMA,LIMA,SAN BORJA,Unidad Ejecutora 008 Proyectos Especiales del Pliego 003 (UE 008 - PE)
Poder Ejecutivo,Cultura,LA LIBERTAD,TRUJILLO,TRUJILLO,UNIDAD EJECUTORA 009 - LA LIBERTAD (UE 009 - LA LIBERTAD)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,SAN ISIDRO,Fondo de Cooperación para el Desarrollo Social (FONCODES)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,SAN ISIDRO,Ministerio de Desarrollo e Inclusión Social (MIDIS)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,SAN ISIDRO,Programa Nacional Cuna Más (PNCM)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,NULL,NULL,Programa Nacional de Alimentación Escolar Qali Warma (PNAE - QALI WARMA)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,MIRAFLORES,Programa Nacional de Apoyo Directo a los más Pobres - JUNTOS (JUNTOS)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,LIMA,Programa Nacional de Asistencia Alimentaria (PRONAA)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,NULL,NULL,Programa Nacional de Asistencia Solidaria Pensión 65 (PENSION 65)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,MAGDALENA DEL MAR,Programa Nacional de entrega de la pensión no contributiva a la persona con discapacidad severa (CONTIGO)
Poder Ejecutivo,Desarrollo e Inclusión Social,LIMA,LIMA,LIMA,Programa Nacional Plataformas de Acción para la Inclusión Social (PNPAIS)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Banco Central de Reserva del Perú (BCRP)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Defensoría del Pueblo (DP)
Organismos Autónomos,Otros,CUSCO,CUSCO,SAN SEBASTIAN,Empresa Nacional de la Coca S.A (ENACO S.A)
Organismos Autónomos,Otros,LIMA,CAÐETE,SAN VICENTE DE CAÐETE,Empresa Prestadora de Servicios de Saneamiento Municipal de Agua Potable y Alcantarillado (EPSEMAPA)
Organismos Autónomos,Otros,JUNIN,CHANCHAMAYO,CHANCHAMAYO,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO SELVA CENTRAL S.A. (EPSSSCSA)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,ESCUELA NACIONAL SUPERIOR AUTÓNOMA DE BELLAS ARTES DEL PERÚ (ENSABAP)
Organismos Autónomos,Otros,LIMA,LIMA,SAN ISIDRO,FEDERACIÓN PERUANA DE CAJAS MUNICIPALES DE AHORRO Y CRÉDITO (FEPMAC)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Fuero Militar Policial (Ex - Consejo Supremo de Justicia Militar) (FMP)
Organismos Autónomos,Otros,LIMA,LIMA,SANTIAGO DE SURCO,INSTITUTO PEDAGÓGICO NACIONAL MONTERRICO (IPNM)
Organismos Autónomos,Otros,LIMA,LIMA,SAN ISIDRO,JUNTA NACIONAL DE JUSTICIA (JNJ)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Jurado Nacional de Elecciones (JNE)
Organismos Autónomos,Otros,LIMA,LIMA,JESUS MARIA,La Contraloría General de la República (CGR)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Ministerio Público Fiscalía de la Nación (MPFN)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Oficina Central de Lucha contra la Falsificación de Numerario (OCN)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Oficina Nacional de Procesos Electorales (ONPE)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Registro Nacional de Identificación y Estado Civil (RENIEC)
Organismos Autónomos,Otros,LIMA,LIMA,SAN ISIDRO,"Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones (SBS)"
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Tribunal Constitucional (TC)
Organismos Autónomos,Otros,LA LIBERTAD,TRUJILLO,LA ESPERANZA,Unidad de Gestión Local N° 02 La Esperanza (UGEL N°02 L.E)
Organismos Autónomos,Otros,LIMA,LIMA,SAN BORJA,UNIDAD EJECUTORA 002 INICTEL UNI (INICTEL-UNI)
Organismos Autónomos,Otros,LIMA,LIMA,SAN ISIDRO,UNIDAD EJECUTORA 002: MEJORA DE LA CALIDAD DE SERVICIOS REGISTRALES - RENIEC (PROYECTO RENIEC-BID)
Organismos Autónomos,Otros,LIMA,LIMA,LINCE,Unidad Ejecutora 003: Gestion Integral de la Calidad Ambiental (GICA)
Organismos Autónomos,Otros,HUANUCO,PUERTO INCA,PUERTO INCA,UNIDAD EJECUTORA 306 EDUCACION UGEL PUERTO INCA (UEPUERTOINCA)
Organismos Autónomos,Otros,CALLAO,CALLAO,CALLAO,Universidad Marítima del Perú S.A.C. (UMP)
Organismos Autónomos,Otros,HUANUCO,LEONCIO PRADO,RUPA-RUPA,Universidad Nacional Agraria de la Selva (UNAS)
Organismos Autónomos,Otros,LIMA,LIMA,LA MOLINA,Universidad Nacional Agraria La Molina (UNALM)
Organismos Autónomos,Otros,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,Universidad Nacional Amazonica de Madre de Dios (UNAMAD)
Organismos Autónomos,Otros,JUNIN,TARMA,TARMA,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA (UNAAT)
Organismos Autónomos,Otros,LORETO,ALTO AMAZONAS,YURIMAGUAS,UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS (UNAAA)
Organismos Autónomos,Otros,CAJAMARCA,CHOTA,CHOTA,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA (UNACH)
Organismos Autónomos,Otros,AYACUCHO,HUANTA,HUANTA,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA (UNAH)
Organismos Autónomos,Otros,HUANCAVELICA,TAYACAJA,PAMPAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO (UNAT)
Organismos Autónomos,Otros,PASCO,PASCO,YANACANCHA,Universidad Nacional Daniel Alcides Carrión (UNDAC)
Organismos Autónomos,Otros,LIMA,BARRANCA,BARRANCA,Universidad Nacional de Barranca (UNAB)
Organismos Autónomos,Otros,CAJAMARCA,CAJAMARCA,CAJAMARCA,Universidad Nacional de Cajamarca (UNC)
Organismos Autónomos,Otros,LIMA,CAÐETE,SAN VICENTE DE CAÐETE,UNIVERSIDAD NACIONAL DE CAÑETE (UNDC)
Organismos Autónomos,Otros,LIMA,LIMA,LURIGANCHO,Universidad Nacional de Educación Enrique Guzmán y Valle (UNE)
Organismos Autónomos,Otros,PIURA,SULLANA,SULLANA,UNIVERSIDAD NACIONAL DE FRONTERA (UNF)
Organismos Autónomos,Otros,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Universidad Nacional de Huancavelica (UNH)
Organismos Autónomos,Otros,LIMA,LIMA,RIMAC,Universidad Nacional de Ingeniería (UNI)
Organismos Autónomos,Otros,CAJAMARCA,JAEN,JAEN,Universidad Nacional de Jaén (UNJ)
Organismos Autónomos,Otros,PUNO,SAN ROMAN,JULIACA,UNIVERSIDAD NACIONAL DE JULIACA (UNAJ)
Organismos Autónomos,Otros,LORETO,MAYNAS,IQUITOS,Universidad Nacional de la Amazonía Peruana (UNAP IQUITOS)
Organismos Autónomos,Otros,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Universidad Nacional de Moquegua (UNAM)
Organismos Autónomos,Otros,PIURA,PIURA,CASTILLA,Universidad Nacional de Piura (UNP)
Organismos Autónomos,Otros,AREQUIPA,AREQUIPA,AREQUIPA,Universidad Nacional de San Agustín (UNSA)
Organismos Autónomos,Otros,CUSCO,CUSCO,CUSCO,Universidad Nacional de San Antonio Abad del Cusco (UNSAAC)
Organismos Autónomos,Otros,SAN MARTIN,SAN MARTIN,TARAPOTO,Universidad Nacional de San Martí­n - Tarapoto (UNSM-T)
Organismos Autónomos,Otros,LA LIBERTAD,TRUJILLO,TRUJILLO,Universidad Nacional de Trujillo (UNT)
Organismos Autónomos,Otros,TUMBES,TUMBES,TUMBES,Universidad Nacional de Tumbes (UNT)
Organismos Autónomos,Otros,UCAYALI,CORONEL PORTILLO,CALLARIA,Universidad Nacional de Ucayali (UNU)
Organismos Autónomos,Otros,PUNO,PUNO,PUNO,Universidad Nacional del Altiplano (UNAP)
Organismos Autónomos,Otros,CALLAO,CALLAO,BELLAVISTA,Universidad Nacional del Callao (UNAC)
Organismos Autónomos,Otros,JUNIN,HUANCAYO,HUANCAYO,Universidad Nacional del Centro del Perú (UNCP)
Organismos Autónomos,Otros,ANCASH,SANTA,NUEVO CHIMBOTE,Universidad Nacional del Santa (UNS)
Organismos Autónomos,Otros,CUSCO,CUSCO,CUSCO,Universidad Nacional Diego Quispe Tito (UNDQT)
Organismos Autónomos,Otros,LIMA,LIMA,SAN MIGUEL,Universidad Nacional Federico Villarreal (UNFV)
Organismos Autónomos,Otros,HUANUCO,HUANUCO,PILLCO MARCA,Universidad Nacional Hermilio Valdizan (UNHEVAL)
Organismos Autónomos,Otros,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Universidad Nacional Intercultural de la Amazonia (UNIA)
Organismos Autónomos,Otros,JUNIN,CHANCHAMAYO,CHANCHAMAYO,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa (UNISCJSA)
Organismos Autónomos,Otros,CUSCO,LA CONVENCION,SANTA ANA,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA (UNIQ)
Organismos Autónomos,Otros,AMAZONAS,BAGUA,NULL,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA (UNIFSL-B)
Organismos Autónomos,Otros,TACNA,TACNA,TACNA,Universidad Nacional Jorge Basadre Grohmann (UNJBG)
Organismos Autónomos,Otros,LIMA,HUAURA,HUACHO,Universidad Nacional José Faustino Sánchez Carrión (UNJFSC)
Organismos Autónomos,Otros,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,Universidad Nacional José María Arguedas (UNAJMA)
Organismos Autónomos,Otros,LIMA,LIMA,LIMA,Universidad Nacional Mayor de San Marcos (UNMSM)
Organismos Autónomos,Otros,APURIMAC,ABANCAY,TAMBURCO,Universidad Nacional Micaela Bastidas de Apurímac. (UNAMBA)
Organismos Autónomos,Otros,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,Universidad Nacional Pedro Ruiz Gallo (UNPRG)
Organismos Autónomos,Otros,AYACUCHO,HUAMANGA,AYACUCHO,Universidad Nacional San Cristóbal de Huamanga (UNSCH)
Organismos Autónomos,Otros,ICA,ICA,ICA,Universidad Nacional San Luis Gonzaga de Ica (UNICA)
Organismos Autónomos,Otros,ANCASH,HUARAZ,INDEPENDENCIA,Universidad Nacional Santiago Antúnez de Mayolo (UNASAM)
Organismos Autónomos,Otros,LIMA,LIMA,VILLA EL SALVADOR,Universidad Nacional Tecnológica de Lima Sur (UNTELS)
Organismos Autónomos,Otros,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Universidad Nacional Toribio Rodriguez de Mendoza de Amazonas (UNTRM)
Organismos Autónomos,Transportes y Comunicaciones,LIMA,LIMA,SAN LUIS,PROYECTO ESPECIAL LEGADO JUEGOS PANAMERICANOS Y PARAPANAMERICANOS (PEJP)
Organismos Autónomos,Transportes y Comunicaciones,LA LIBERTAD,TRUJILLO,TRUJILLO,TRANSPORTES METROPOLITANOS DE TRUJILLO (TMT)
Organismos Autónomos,Salud,LIMA,LIMA,JESUS MARIA,CENTRAL DE ABASTECIMIENTO DE BIENES ESTRATÉGICOS (CEABE)
Organismos Autónomos,Salud,LIMA,LIMA,JESUS MARIA,CENTRO NACIONAL DE TELEMEDICINA (CENATE)
Organismos Autónomos,Salud,LIMA,LIMA,ATE,HOSPITAL DE HUAYCAN (HH)
Organismos Autónomos,Salud,CALLAO,CALLAO,BELLAVISTA,HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN
Organismos Autónomos,Salud,LIMA,LIMA,JESUS MARIA,HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS
Organismos Autónomos,Salud,LIMA,LIMA,LA VICTORIA,HOSPITAL NACIONAL GUILLERMO ALMENARA IRIGOYEN
Organismos Autónomos,Salud,LIMA,LIMA,JESUS MARIA,INSTITUTO DE EVALUACIÓN DE TECNOLOGÍAS EN SALUD E INVESTIGACIÓN (IETSI)
Organismos Autónomos,Salud,LORETO,LORETO,NULL,INSTITUTO DE MEDICINA TRADICIONAL (IMET)
Organismos Autónomos,Salud,ANCASH,HUARAZ,INDEPENDENCIA,RED ASISTENCIAL HUARAZ
Organismos Autónomos,Educación,LIMA,LIMA,SURQUILLO,ESCUELA NACIONAL SUPERIOR DE BALLET (ENSB)
Organismos Autónomos,Educación,CAJAMARCA,SAN PABLO,SAN PABLO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL SAN PABLO (UGEL SAN PABLO)
Organismos Autónomos,Educación,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,Universidad Nacional Ciro Alegria (UNCA)
Organismos Autónomos,Educación,HUANUCO,NULL,NULL,UNIVERSIDAD NACIONAL DANIEL ALOMÍA ROBLES (UNDAR)
Organismos Autónomos,Interior,LIMA,LIMA,JESUS MARIA,FONDO DE BIENESTAR DE LA PNP (FONBIEPOL)
Organismos Autónomos,"Vivienda, Construcción y Saneamiento",TUMBES,TUMBES,TUMBES,UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES (UE002SST)
Municipalidades,Otros,NULL,NULL,NULL,0001 María Auxiliadora (0001 MA)
Municipalidades,Otros,NULL,NULL,NULL,1070 Melitón Carbajal (1070 MC)
Municipalidades,Otros,LIMA,LIMA,JESUS MARIA,AUTORIDAD DEL PROYECTO COSTA VERDE (APCV)
Municipalidades,Otros,LIMA,LIMA,CHORRILLOS,Autoridad Municipal de los Pantanos de Villa (PROHVILLA)
Municipalidades,Otros,LORETO,MAYNAS,IQUITOS,Caja de Municipal de Ahorro y Credito Maynas S.A. (CMAC Maynas S A)
Municipalidades,Otros,JUNIN,HUANCAYO,HUANCAYO,Caja Municipal De Ahorro Y Credito - Huancayo S.A.  (CMAC - HUANCAYO S.A.)
Municipalidades,Otros,AREQUIPA,AREQUIPA,AREQUIPA,Caja Municipal de Ahorro y Credito de Arequipa (CMAC-AREQUIPA)
Municipalidades,Otros,ICA,ICA,ICA,Caja Municipal de Ahorro y Crédito de Ica S.A (CMACICA)
Municipalidades,Otros,PIURA,PAITA,PAITA,Caja Municipal de Ahorro y Crédito de Paita S.A. (CMACP)
Municipalidades,Otros,ICA,PISCO,PISCO,Caja Municipal de Ahorro y Crédito de Pisco S.A. (CMAC Pisco S.A.)
Municipalidades,Otros,TACNA,TACNA,TACNA,Caja Municipal de Ahorro y Credito de Tacna SA (CMAC Tacna SA)
Municipalidades,Otros,LA LIBERTAD,TRUJILLO,TRUJILLO,CAJA MUNICIPAL DE AHORRO Y CREDITO DE TRUJILLO S.A. (CMAC-T)
Municipalidades,Otros,ICA,ICA,ICA,CAJA MUNICIPAL DE AHORRO Y CREDITO ICA S.A. (CMAC ICA S.A.)
Municipalidades,Otros,LIMA,LIMA,LIMA,Caja Municipal de Credito Popular de Lima (CMCPL)
Municipalidades,Otros,PIURA,PIURA,PIURA,CAJA MUNICIPAL DE PIURA S.A.C. (CMAC PIURA)
Municipalidades,Otros,NULL,NULL,NULL,CEBA Teresa González de Fanning (CEBA TGF)
Municipalidades,Otros,LAMBAYEQUE,CHICLAYO,CHICLAYO,CENTRO DE GESTIÓN TRIBUTARIA (CGT)
Municipalidades,Otros,NULL,NULL,NULL,CENTRO PILOTO DE RECUPERACION PEDAGOGICA (CPRP)
Municipalidades,Otros,LIMA,NULL,NULL,EMPRESA DE SERVICIO DE LIMPIEZA MUNICIPAL PUBLICA DEL CALLAO (ESLIMP CALLAO S.A)
Municipalidades,Otros,JUNIN,HUANCAYO,HUANCAYO,Empresa de Servicios de Agua Potable y alcantarillado Municipal de Huancayo (SEDAM HUANCAYO S.A.)
Municipalidades,Otros,LIMA,LIMA,ATE,Empresa Municipal Administradora de Peaje S.A. (EMAPE S.A)
Municipalidades,Otros,AMAZONAS,BAGUA,NULL,Empresa Municipal de Agua Potable y Alcantarillado Bagua Sociedad Anonima (EMAPAB)
Municipalidades,Otros,LIMA,CAÑETE,NULL,Empresa Municipal de Agua Potable y Alcantarillado Cañete S.A (EMAP)
Municipalidades,Otros,UCAYALI,CORONEL PORTILLO,CALLARIA,Empresa Municipal de Agua Potable y alcantarillado de Coronel Portillo (EMAPACOPSA)
Municipalidades,Otros,ICA,ICA,ICA,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE ICA S.A. (EPS EMAPICA S.A.)
Municipalidades,Otros,ICA,PISCO,PISCO,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PISCO S.A. (EMAPISCO S.A.)
Municipalidades,Otros,LIMA,LIMA,SANTA ANITA,Empresa Municipal de Mercados - EMMSA (EMMSA)
Municipalidades,Otros,PUNO,PUNO,PUNO,Empresa Municipal de Saneamiento Básico de Puno S.A (EMSAPUNO S.A)
Municipalidades,Otros,APURIMAC,ABANCAY,ABANCAY,Empresa Municipal de Servicio de Abastecimiento de Agua Potable y Alcantarillado de Abancay (EPS EMUSAP ABANCAY S)
Municipalidades,Otros,HUANUCO,HUANUCO,HUANUCO,Empresa Municipal de Servicio de Agua Potable y Alcantarillado de Huanuco Sociedad Anónima (SEDA HUANUCO S.A.)
Municipalidades,Otros,LIMA,HUARAL,HUARAL,EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE HUARAL (EMAPA HUARAL S.A.)
Municipalidades,Otros,SAN MARTIN,RIOJA,RIOJA,Empresa Municipal de Servicio de Agua Potable y Alcantarillado de Rioja SRL (SEDAPAR S.R.L.)
Municipalidades,Otros,SAN MARTIN,SAN MARTIN,TARAPOTO,EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN SOCIEDAD ANONIMA (EMAPA SAN MARTIN S.A)
Municipalidades,Otros,LIMA,LIMA,LIMA,EMPRESA MUNICIPAL INMOBILIARIA DE LIMA S.A. (EMILIMA S.A.)
Municipalidades,Otros,LIMA,HUAURA,HUACHO,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO AGUAS DE LIMA NORTE S.A. (AGUAS DE LIMA NORTE)
Municipalidades,Otros,CAJAMARCA,CAJAMARCA,CAJAMARCA,Empresa Prestadora de Servicios de Saneamiento de Cajamarca S.A (E.P.S. SEDACAJ S.A.)
Municipalidades,Otros,CAJAMARCA,JAEN,JAEN,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MARAÑON (EPS. MARAÑON SRL.)
Municipalidades,Otros,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MUNICIPAL DE UTCUBAMBA S.A. (EPSSMU S.A.)
Municipalidades,Otros,PUNO,SAN ROMAN,JULIACA,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO SEDAJULIACA S.A. (EPS SEDAJULIACA S.A.)
Municipalidades,Otros,CUSCO,CUSCO,CUSCO,ENTIDAD MUNICIPAL PRESTADORA DE SERVICIOS DE SANEAMIENTO DEL CUSCO S.A. (EPS SEDACUSCO S.A.)
Municipalidades,Otros,TACNA,TACNA,TACNA,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO TACNA (EPS TACNA S.A.)
Municipalidades,Otros,ANCASH,HUARAZ,HUARAZ,Entidad Prestadora de Servicios de Saneamiento Chavin S.A. (EPS CHAVIN S.A.)
Municipalidades,Otros,LORETO,MAYNAS,IQUITOS,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE LORETO S.A. (EPS SEDALORETO S.A.)
Municipalidades,Otros,AYACUCHO,HUAMANGA,AYACUCHO,Entidad Prestadora de Servicios de Saneamiento de Ayacucho S.A (EPSASA)
Municipalidades,Otros,LAMBAYEQUE,CHICLAYO,CHICLAYO,Entidad Prestadora De Servicios De Saneamiento De Lambayeque S.A.  (EPSEL S.A.)
Municipalidades,Otros,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO (EPS EMAPAT S.A.)
Municipalidades,Otros,PIURA,PIURA,PIURA,Entidad Prestadora de servicios de Saneamiento Grau S.A. (EPS Grau S.A.)
Municipalidades,Otros,MOQUEGUA,ILO,ILO,Entidad Prestadora de Servicios de Saneamiento Ilo S.A (EPSILO S.A.)
Municipalidades,Otros,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO MOQUEGUA S.A. (EPS MOQUEGUA S.A.)
Municipalidades,Otros,JUNIN,CONCEPCION,CONCEPCION,Entidad Prestadora de Servicios de Saneamiento Municipal Mantaro S.A (EPS MANTARO S.A)
Municipalidades,Otros,ICA,CHINCHA,CHINCHA ALTA,EPS SEMAPACH S.A. (EPS SEMAPACH S.A.)
Municipalidades,Otros,LIMA,LIMA,LIMA,Fondo Metropolitano de Inversiones (INVERMET)
Municipalidades,Otros,CALLAO,CALLAO,CALLAO,FONDO MUNICIPAL DE INVERSIONES DEL CALLAO S.A (FINVER CALLAO S.A.)
Municipalidades,Otros,CUSCO,QUISPICANCHI,URCOS,GOBIERNO LOCAL DE LA PROVINCIA DE QUISPICANCHI (GLPQ/U)
Municipalidades,Otros,PASCO,PASCO,NULL,Honorable Municipalidad Provincial de Pasco (HMPP)
